Nagore Durgha,"http://en.wikipedia.org/wiki/Nagore_Durgha,_Singapore#",Nagore Durgha,,Singapore,Singapore,Singapore,1.281369,103.847818,,holy site
Ho Chi Minh City,http://en.wikipedia.org/wiki/Ho_Chi_Minh_City#,Ho Chi Minh City,Saigon,Vietnam,Ho Chi Minh,Ho Chi Minh City,10.759185,106.662457,,city/town
Vientiane,http://en.wikipedia.org/wiki/Vientiane#,Vientiane,,Laos,Viangchan,Vientiane,18.001737,102.680236,,city/town
Jama Masjid,"http://en.wikipedia.org/wiki/Jama_Masjid,_Delhi#",Jama Masjid,,India,New Delhi,Delhi,28.650671,77.233459,,holy site
Malaya,http://en.wikipedia.org/wiki/Malay_Peninsula#,Malaya,,-9999,-9999,-9999,4,102,,region
Indo China,http://en.wikipedia.org/wiki/Indochina#,Indo China,,-9999,-9999,-9999,16,104,Indo-China is essentially mainland Southeast Asia,region
Masjid Jamae,http://en.wikipedia.org/wiki/Masjid_Jamae#,Masjid Jamae,,Singapore,Singapore,Singapore,1.283189,103.845379,,religious building
Sudan,http://www.sudan.gov.sd/en/#,Sudan,,Sudan,-9999,-9999,14,29.25,,country
Ottoman Empire,http://en.wikipedia.org/wiki/Ottoman_Empire#,,Ottoman Empire,Ottoman Empire,-9999,-9999,39,34,,historic jurisdiction
Surabaya,http://www.surabaya.go.id/eng/#,Surabaya,,Indonesia,Jawa Timur,Surabaya,-7.399998,112.684375,,city/town
Bandung,http://bandungsae.com/#,Bandung,,Indonesia,Jawa Barat,Bandung,-6.912,107.606998,,city/town
"Flores, Pulau",http://en.wikipedia.org/wiki/Flores#,"Flores, Pulau",,Indonesia,Nusa Tenggara Timur,-9999,-8.674621,121.384416,,island
Federated Malay States,http://en.wikipedia.org/wiki/British_Malaya#,,Federated Malay States,-9999,-9999,-9999,4,102,,historic jurisdiction
Kuala Lumpur,http://www.dbkl.gov.my/portalv7/index.php#,Kuala Lumpur,,Malaysia,Kuala Lumpur,Kuala Lumpur,3.15,101.708002,,city/town
Tiruchirappalli,http://www.trichy.tn.nic.in/#,Tiruchirappalli,,India,Tamil Nadu,Tiruchirappalli,10.827885,78.687317,,city/town
Coimbatore,http://coimbatore.nic.in/#,Coimbatore,,India,Tamil Nadu,Coimbatore,10.992662,76.960182,,city/town
Pasay,http://www.pasay.gov.ph/#,Pasay,,Phillipines,Pasay,Pasay,14.5518,120.9943,,city/town
University of Wisconsin,http://www.wisc.edu/#,University of Wisconsin,,United States of America,Wisconsin,Madison,43.074632,-89.403314,,college/university
Nallur,http://en.wikipedia.org/wiki/Nallur#,Nallur,,India,Tamil Nadu,Nallur,10.916667,79.316667,,village
Brahmaputra Valley,http://wikimapia.org/8571595/Brahmaputra-Valley#,Brahmaputra Valley,,India,-9999,-9999,26.815455,93.845173,Valley in the mountainous regions around the Brahmaputra River,natural area
French Indochina,http://en.wikipedia.org/wiki/French_Indochina#,,French Indochina,-9999,-9999,-9999,15.576745,107.006703,,historic jurisdiction
Cholon Mosque,http://www.saigonmuslimtours.com/Muslim-Tours-Information/mosques-in-ho-chi-minh-city/#,Cholon Mosque,,Vietnam,Ho Chi Minh,Ho Chi Minh City,,,,religious building
Rangpur,http://en.wikipedia.org/wiki/Rangpur_District#,Rangpur,,Bangladesh,Rangpur,-9999,25.624066,89.212494,,district
Dinajpur,"http://en.wikipedia.org/wiki/Dinajpur_District,_Bangladesh#",Dinajpur,,Bangladesh,Dinajpur,-9999,25.623834,88.76952,,district
Jalpaiguri,http://jalpaiguri.gov.in/#,Jalpaiguri,,India,West Bengal,-9999,26.69243,89.005811,,district
Koch Bihar,http://coochbehar.nic.in/#,Koch Bihar,,India,West Bengal,-9999,26.291194,89.351377,,district
Bakarganj,http://en.wikipedia.org/wiki/Backergunje#,,Bakarganj,Bangladesh,Bakarganj,-9999,,,,district
Khulna,http://en.wikipedia.org/wiki/Khulna_District#,Khulna,,Bangladesh,Khulna,-9999,22.487537,89.434977,,district
Bagerhat,http://en.wikipedia.org/wiki/Bagerhat_District#,Bagerhat,,Bangladesh,Khulna,-9999,22.391159,89.770977,,district
Banga,"http://en.wikipedia.org/wiki/Banga,_India#",Banga,,India,Punjab,Banga,31.177208,76.001572,,city/town
Pune,http://pune.gov.in/#,Pune,,India,Maharashtra,Pune,18.510624,73.897652,,city/town
Andaman islands,http://en.wikipedia.org/wiki/Andaman_and_Nicobar_Islands,Andaman islands,,India,Andaman and Nicobar Islands,-9999,12.5,92.75,,island
Dandakaranya,http://en.wikipedia.org/wiki/Dandakaranya#,Dandakaranya,,India,Chhattisgarh,-9999,19.083333,82.083333,,region
South Twenty Four Parganas,http://s24pgs.gov.in/orig/default.htm#,South Twenty Four Parganas,,India,West Bengal,-9999,22.209389,88.465273,,district
