Holy Roman Empire,the empire set up in western Europe following the coronation of Charlemagne as emperor in the year 800. Lasted till 1806,http://en.wikipedia.org/wiki/Holy_Roman_Empire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body Politic,"the people of a nation, state, or society considered collectively as an organized group of citizens",http://en.wikipedia.org/wiki/Body_politic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurocentric,focusing on European culture or history to the exclusion of a wider view of the world; implicitly regarding European culture as pre-eminent,http://en.wikipedia.org/wiki/Eurocentric,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakim,a physician using traditional remedies in India and Muslim countries,http://en.wikipedia.org/wiki/Hakim_(title),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nastaliq,a popular style used in writing the Perso-Arabic script,http://en.wikipedia.org/wiki/Nastaliq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernacular,the language or dialect spoken by the ordinary people of a country or region,http://en.wikipedia.org/wiki/Vernacular,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wahhabi,"a member of a strictly orthodox Sunni Muslim sect founded by Muhammad ibn Abd al-Wahhab (1703�??92). It advocates a return to the early Islam of the Koran and Sunna, rejecting later innovations; the sect is still the predominant religious force in Saudi Arabia",http://en.wikipedia.org/wiki/Wahhabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Empire,"a former empire consisting of Great Britain and its possessions, dominions, and dependencies",http://en.wikipedia.org/wiki/British_Empire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingdom of Kashi,a Bhumihar Brahmin state that was under Mughal and then British tutelage before joining the Indian Union,http://en.wikipedia.org/wiki/Kingdom_of_Kashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rikhta,Persianized form of the Khariboli dialect of Urdu,http://en.wikipedia.org/wiki/Rekhta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turko-Mongol,designation for various nomads who were subjects of the Mongol Empire,http://en.wikipedia.org/wiki/Turko-Mongol,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khanate,a region ruled by a khan (a Mongol or Turkic supreme tribal leader),http://en.wikipedia.org/wiki/Khanate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulema,a body of Muslim scholars who are recognized as having specialist knowledge of Islamic sacred law and theology,http://en.wikipedia.org/wiki/Ulema,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usuli,a Shia school of thought that emphasizes the need for conformance to the opinion of authorities of Islamic law,http://en.wikipedia.org/wiki/Usuli,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingdom of Awadh,ruled by the Nawabs of Awadh who became independent from Mughal rule in the eighteenth but soon thereafter came under British rule,http://en.wikipedia.org/wiki/Oudh_kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madrasa,a college for Islamic instruction,http://en.wikipedia.org/wiki/Madrasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalit,"name given, by themselves, to the untouchables of Hindu society",http://en.wikipedia.org/wiki/Dalit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subcontinent,"the part of Asia south of the Himalayas, today consisting of Pakistan, India, Bangladesh, Nepal, Bhutan and Sri Lanka",http://en.wikipedia.org/wiki/Indian_subcontinent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheduled Castes,"the official name given in India to the caste considered �??untouchable�?? in orthodox Hindu scriptures and practice, officially regarded as socially disadvantaged",http://en.wikipedia.org/wiki/Scheduled_caste,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Untouchables,people belonging to the lowest-caste Hindu group or people outside the caste system. The term arises from the belief among higher castes that touching such persons��amounts to ritual pollution,http://en.wikipedia.org/wiki/Untouchability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identity Politics,"political positions and activism based on an aspect of identity (e.g. ethnicity , religion, sex, or sexual orientation) shared by a group which feels that its concerns are not adequately represented",http://en.wikipedia.org/wiki/Identity_politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muslim League,political organization founded in 1906 to protect the rights of��Muslims��in British India. Its deadlock with the Indian National Congress over the form of government in independent India ultimately led to the partition of British India into India and Pakistan,http://en.wikipedia.org/wiki/Muslim_league,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajbongshi,"a community that lives mainly in West Bengal, Bangladesh and Assam",http://en.wikipedia.org/wiki/Koch_Rajbongshi_people,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namasudra,a community outside the four-tier caste system and whose members were traditionally boatmen or cultivators,http://en.wikipedia.org/wiki/Namasudra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economic Mobility,the ability of an individual to improve her economic status,http://en.wikipedia.org/wiki/Economic_mobility,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-cooperation movement,a nonviolent movement in India led by Mohandas Karamchand Gandhi from 1920 to 1922 to resist British rule,http://en.wikipedia.org/wiki/Noncooperation_movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civil disobedience movement,a nonviolent movement in India led by Mohandas Karamchand Gandhi in 1930 to resist British rule,http://en.wikipedia.org/wiki/Civil_Disobedience_Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaishnavism,"a tradition of Hinduism��devoted to��the worship of Vishnu as the supreme god and his avatars such as Rama and Krishna. It is one of the three major forms of Hindu��bhakti, devotion to a single god",http://en.wikipedia.org/wiki/Vaishnavism,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matua,a sect of Hinduism,http://en.wikipedia.org/wiki/Matua_Mahasangha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brahmin,"member of the highest Hindu caste, that of the priesthood",http://en.wikipedia.org/wiki/Brahmin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kali Puja,Hindu festival dedicated to the goddess Kali,http://en.wikipedia.org/wiki/Kali_Puja,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindu Mahasabha,a Hindu nationalist political party,http://en.wikipedia.org/wiki/Mahasabha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Calcutta Killing,refers to the widespread riots in Calcutta in August 1946,http://en.wikipedia.org/wiki/Great_Calcutta_Killings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noakhali Riots,"riots in Noakhali, Bengal in the months following the Great Calcutta Killings of 1946",http://en.wikipedia.org/wiki/Noakhali_genocide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tebhaga movement,a Communist-led sharecropper movement in Bengal in 1946,http://en.wikipedia.org/wiki/Tebhaga_movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santal,the largest tribal community in India,http://en.wikipedia.org/wiki/Santal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varna,"the categorization of Hindu society by four castes, Brahmins, Kshatriyas, Vaishyas and Shudras",http://en.wikipedia.org/wiki/Varna_(Hinduism),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dandakaranya Plan,plan by the Indian government to settle refugees from East Pakistan,http://www.education.nic.in/cd50years/15/8P/84/8P840K02.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satyagraha,philosophy and practice of nonviolent resistance espoused by Gandhi,http://en.wikipedia.org/wiki/Satyagraha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahujan Samajwadi,"an Indian political party representing Scheduled Castes, Scheduled Tribes and Other Backward Castes",http://en.wikipedia.org/wiki/Bahujan_Samajwadi_Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,
army,An organized military force equipped for fighting on land.,http://en.wikipedia.org/wiki/Army,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christianity,A��monotheistic��religion[ based on the life and teachings of��Jesus as the son of God.,http://en.wikipedia.org/wiki/Christianity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christians,"A person who adheres to�?��Christianity, an�?��Abrahamic,�?��monotheistic�?��religion�?��based on the life and teachings of�?��Jesus of Nazareth as the son of God.",http://en.wikipedia.org/wiki/Christians,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citizen,"A human subject or agent with legally prescribed rights and responsibilities. Citizenship status is granted by states and nations, it is a political privilege rather than a right.",http://en.wikipedia.org/wiki/Citizen_(disambiguation),,,,,,,,,,,,,,,,,,,,,,,,,,,,
economy,"An��economy��consists of the��economic system��of a country or��other��area; the��labor,��capital��and��land��resources; and the��manufacturing,��trade,distribution, and��consumption��of��goods��and services of that area.",http://en.wikipedia.org/wiki/Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imperial,Relating to an empire,http://en.wikipedia.org/wiki/Imperialism,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interventionist,"Interventionism is a term for a policy of non-defensive (proactive) activity undertaken by a nation-state, or other geo-political jurisdiction of a lesser or greater nature, to manipulate an economy or society. The most common applications of the term are for economic interventionism (a state's intervention in its own economy), and foreign interventionism (a state's intervention in the affairs of another nation as part of its foreign policy).",http://en.wikipedia.org/wiki/Interventionism_(politics),,,,,,,,,,,,,,,,,,,,,,,,,,,,
military,"An organization authorized by its greater society to��use force, usually including use of weapons, in defending its country by combating actual or��perceived threats.",http://en.wikipedia.org/wiki/Military,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modern,Of or relating to recent times or the present,http://en.wikipedia.org/wiki/Modern,,,,,,,,,,,,,,,,,,,,,,,,,,,,
